Customer ID,is_churned,total_orders,total_revenue,avg_order_value,total_items,unique_products,days_active,last_order_days,order_rate,avg_items_per_order,R_score,F_score,M_score,RFM_Score
C10000,0,10,729.4972033753961,72.94972033753962,243,6,509,29,0.019646365422396856,24.3,1,4,3,8
C10001,0,8,536.2083236561306,67.02604045701632,169,7,482,28,0.016597510373443983,21.125,1,3,2,6
C10002,0,4,306.3882611931873,76.59706529829683,101,4,318,220,0.012578616352201259,25.25,5,1,1,7
C10003,0,10,898.7289453595774,89.87289453595774,215,6,387,71,0.025839793281653745,21.5,1,3,3,7
C10004,0,8,1144.0429050721732,143.00536313402165,213,7,518,21,0.015444015444015444,26.625,4,3,4,11
C10005,0,11,1339.1152166660559,121.73774696964144,253,7,403,12,0.02729528535980149,23.0,1,4,5,10
C10006,0,7,874.5409749971931,124.93442499959902,172,5,429,108,0.016317016317016316,24.571428571428573,2,3,4,9
C10007,1,6,345.5784582093338,57.596409701555636,163,6,328,129,0.018292682926829267,27.166666666666668,1,1,1,3
C10008,0,12,1019.880867201921,84.99007226682674,288,9,345,74,0.034782608695652174,24.0,3,5,4,12
C10009,0,8,752.5923894679896,94.0740486834987,228,6,446,75,0.017937219730941704,28.5,1,3,3,7
C10010,0,13,836.1012921623811,64.31548401249086,283,11,411,54,0.031630170316301706,21.76923076923077,4,5,5,14
C10011,0,14,1762.326383277364,125.88045594838313,376,9,489,36,0.028629856850715747,26.857142857142858,3,5,5,13
C10012,0,9,1058.0789853373872,117.56433170415413,235,7,371,52,0.02425876010781671,26.11111111111111,5,5,5,15
C10013,0,4,231.46171235840882,57.865428089602204,58,3,274,43,0.014598540145985401,14.5,3,1,3,7
C10014,0,6,688.1389338897047,114.68982231495079,177,5,393,38,0.015267175572519083,29.5,1,1,2,4
C10015,0,7,1005.1256302958222,143.58937575654605,169,5,344,44,0.020348837209302327,24.142857142857142,2,1,4,7
C10016,0,6,1292.8240442123922,215.4706740353987,204,4,328,215,0.018292682926829267,34.0,2,1,5,8
C10017,0,8,536.2874002643536,67.0359250330442,163,8,481,7,0.016632016632016633,20.375,1,2,2,5
C10018,0,7,640.2488678791526,91.46412398273608,230,6,488,38,0.014344262295081968,32.857142857142854,3,2,2,7
C10019,1,13,1266.0526470194704,90.43233192996217,338,11,502,24,0.025896414342629483,26.0,1,4,4,9
C10020,0,8,984.2644154582588,123.03305193228235,219,6,515,25,0.015533980582524271,27.375,4,2,4,10
C10021,0,5,582.2714938700879,116.45429877401757,79,4,319,42,0.01567398119122257,15.8,2,2,4,8
C10022,0,9,648.5662840171242,72.06292044634714,206,4,376,151,0.023936170212765957,22.88888888888889,5,3,4,12
C10023,0,8,791.5125930742576,98.9390741342822,145,8,420,5,0.01904761904761905,18.125,1,3,4,8
C10024,0,5,254.3719926047502,50.87439852095004,110,5,428,12,0.011682242990654205,22.0,1,1,1,3
C10025,0,9,972.4537573929645,108.05041748810716,225,6,501,0,0.017964071856287425,25.0,2,3,4,9
