Customer ID,first_purchase,last_purchase,total_orders,total_revenue,avg_basket,favourite_country,R_score,F_score,M_score,RFM_Score,Segment,recency,frequency,monetary,is_churned,customer_lifetime_days,churn_label
C10000,2020-01-07 18:56:06,2021-08-25 16:38:46,12,928.6688895212142,77.38907412676785,United Kingdom,1,4,3,8,At Risk,128,12,928.6688895212142,0,595,Active
C10001,2020-02-05 06:12:32,2021-08-20 00:24:40,10,614.0301169474681,61.40301169474681,United Kingdom,1,3,2,6,Potential Loyalists,133,10,614.0301169474681,0,561,Active
C10002,2020-01-08 18:35:55,2021-12-23 13:59:19,8,498.77538152789685,62.34692269098711,United Kingdom,5,1,1,7,Potential Loyalists,8,8,498.77538152789685,0,714,Active
C10003,2020-03-28 07:19:19,2021-07-02 05:27:26,11,988.1326703512124,89.83024275920113,United Kingdom,1,3,3,7,At Risk,182,11,988.1326703512124,0,460,Active
C10004,2020-01-06 10:02:43,2021-11-28 13:49:39,10,1250.7641964755144,125.07641964755143,United Kingdom,4,3,4,11,Loyal,33,10,1250.7641964755144,0,692,Active
C10005,2020-05-10 03:31:12,2021-09-08 11:43:45,12,1385.8017744624726,115.48348120520605,United Kingdom,1,4,5,10,At Risk,114,12,1385.8017744624726,0,486,Active
C10006,2020-01-09 01:41:04,2021-10-08 02:51:08,10,1113.501114222703,111.35011142227032,United Kingdom,2,3,4,9,At Risk,84,10,1113.501114222703,0,638,Active
C10007,2020-03-28 23:48:15,2021-02-20 23:42:13,6,345.5784582093338,57.596409701555636,United Kingdom,1,1,1,3,Lost,313,6,345.5784582093338,1,328,Churned
C10008,2020-05-05 11:09:18,2021-11-06 16:28:28,14,1169.0231450944082,83.50165322102916,United Kingdom,3,5,4,12,Loyal,55,14,1169.0231450944082,0,550,Active
C10009,2020-01-25 18:52:29,2021-08-14 07:36:41,10,819.9435217074767,81.99435217074767,United Kingdom,1,3,3,7,At Risk,139,10,819.9435217074767,0,566,Active
C10010,2020-03-20 08:38:36,2021-12-12 23:01:02,16,1459.9035808016224,91.2439738001014,United Kingdom,4,5,5,14,Champions,18,16,1459.9035808016224,0,632,Active
C10011,2020-01-20 08:00:11,2021-11-03 14:08:15,16,1882.6483308544043,117.66552067840027,United Kingdom,3,5,5,13,Loyal,58,16,1882.6483308544043,0,653,Active
C10012,2020-05-02 15:38:55,2021-12-22 14:59:20,16,1601.5849257020136,100.09905785637585,United Kingdom,5,5,5,15,Champions,9,16,1601.5849257020136,0,598,Active
C10013,2020-08-16 12:40:13,2021-10-26 19:54:44,7,850.4392501547642,121.4913214506806,United Kingdom,3,1,3,7,Promising,66,7,850.4392501547642,0,436,Active
