Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,removal_reason
CINV519349,22423,Regency Cakestand 3 Tier,-9,2020-10-31 10:04:58,12.668117663282125,C11054,United Kingdom,return_transaction
CINV500976,84406B,Cream Cupid Hearts Coat Hanger,-7,2021-01-01 02:48:03,2.7949159497733995,C11229,U.K.,return_transaction
CINV511149,21212,PACK OF 72 RETROSPOT CAKE CASES,-8,2021-03-29 22:13:41,0.5982276238726391,,U.K.,return_transaction
CINV509105,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-45,2020-12-17 06:26:04,2.316075095070768,C12815,United Kingdom,return_transaction
CINV503169,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-40,2021-12-21 11:51:05,4.348576768674535,C13682,United Kingdom,return_transaction
CINV502279,22752,Set 7 Babushka Nesting Boxes,-23,2021-11-16 17:53:54,7.984302423476383,C10556,United Kingdom,return_transaction
CINV510626,84406B,CREAM CUPID HEARTS COAT HANGER,-31,2020-01-22 15:42:08,2.794410433044697,C10237,United Kingdom,return_transaction
CINV518394,21730,glass star frosted t-light holder,-41,2020-07-25 07:06:53,4.489492474774013,C12743,United Kingdom,return_transaction
CINV505242,22086,  PAPER CHAIN KIT 50S CHRISTMAS  ,-10,2021-03-04 19:25:11,2.75191765938133,,United Kingdom,return_transaction
CINV512608,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-45,2021-07-22 23:42:51,4.340928441177246,C10050,United Kingdom,return_transaction
CINV502267,22423,REGENCY CAKESTAND 3 TIER,-18,2021-01-29 01:07:46,11.854252497330396,,Germany,return_transaction
CINV502098,22632,HAND WARMER RED POLKA DOT,-28,2021-07-21 05:08:54,1.8584519484481448,,United Kingdom,return_transaction
CINV501929,22752,SET 7 BABUSHKA NESTING BOXES,-40,2021-03-03 01:34:06,7.097465174178248,,Netherlands,return_transaction
CINV504335,23166,MEDIUM CERAMIC TOP STORAGE JAR,-16,2021-12-16 00:24:29,1.0239085533532133,C10614,United Kingdom,return_transaction
CINV518711,22633,Hand Warmer Union Jack,-24,2021-02-21 18:04:40,2.0027123925420245,,Australia,return_transaction
CINV506239,85099B,Jumbo Bag Red Retrospot,-22,2020-04-06 03:21:01,1.6907901762441124,,United Kingdom,return_transaction
CINV513879,22086,PAPER CHAIN KIT 50S CHRISTMAS,-46,2021-09-23 23:08:38,2.447398059555656,,United Kingdom,return_transaction
CINV505449,71053,white metal lantern,-47,2021-06-16 01:05:57,3.52998389958642,C12802,United Kingdom,return_transaction
CINV515947,22423,REGENCY CAKESTAND 3 TIER,-34,2021-01-05 22:25:40,13.050424091492278,C13541.0,United Kingdom,return_transaction
CINV507133,71053,White Metal Lantern,-8,2020-02-27 11:10:50,3.122968251697037,C13851,United Kingdom,return_transaction
CINV519498,22086,PAPER CHAIN KIT 50S CHRISTMAS,-34,2021-01-16 18:55:27,2.4683168528984685,C13897,United Kingdom,return_transaction
CINV507821,85099B,jumbo bag red retrospot,-16,2020-03-14 01:55:27,1.506797943124011,,Spain,return_transaction
CINV506984,47566,PARTY BUNTING,-7,2021-02-02 21:38:33,4.885753174549906,C11482,United Kingdom,return_transaction
CINV500256,84406B,CREAM CUPID HEARTS COAT HANGER,-10,2021-09-14 10:03:44,2.640384769408437,,United Kingdom,return_transaction
CINV508666,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-34,2020-10-22 14:35:29,3.915367778000781,C13582,Netherlands,return_transaction
CINV505801,71053,  WHITE METAL LANTERN  ,-44,2021-02-25 23:36:13,3.5370221344238746,C11326,United Kingdom,return_transaction
CINV513510,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-13,2020-04-02 09:37:21,3.504431511409594,C12137,United Kingdom,return_transaction
CINV500812,84029E,red woolly hottie white heart,-31,2020-03-02 13:53:05,3.369062718895362,C10353,United Kingdom,return_transaction
CINV508346,85099B,  JUMBO BAG RED RETROSPOT  ,-45,2020-05-25 14:27:11,1.789313787404448,C12552,United Kingdom,return_transaction
CINV515505,85123A,White Hanging Heart T-Light Holder,-36,2020-10-06 23:30:39,2.795307749875193,C10312,Switzerland,return_transaction
CINV516890,21212,PACK OF 72 RETROSPOT CAKE CASES,-22,2021-11-28 23:04:09,0.5333465910486768,C13743,United Kingdom,return_transaction
CINV513931,47566,PARTY BUNTING,-12,2020-12-02 17:38:27,4.572635167087457,C11483,United Kingdom,return_transaction
CINV507170,22086,  PAPER CHAIN KIT 50S CHRISTMAS  ,-36,2021-04-09 05:46:40,2.395033786317647,C10854,United Kingdom,return_transaction
CINV508165,22633,  HAND WARMER UNION JACK  ,-45,2021-07-31 11:48:02,1.8204984358236052,C13794,United Kingdom,return_transaction
CINV517404,23166,medium ceramic top storage jar,-49,2020-01-12 12:42:41,0.9746670981519876,C10659,United Kingdom,return_transaction
CINV505215,84029E,red woolly hottie white heart,-26,2021-10-12 18:02:37,3.1052440665179555,C11172,Spain,return_transaction
CINV502040,84406B,CREAM CUPID HEARTS COAT HANGER,-33,2021-01-20 00:38:39,2.753653267146916,C12537,United Kingdom,return_transaction
CINV518864,47566,Party Bunting,-31,2021-05-03 00:45:06,4.679726687444726,,United Kingdom,return_transaction
CINV500193,85099B,JUMBO BAG RED RETROSPOT,-22,2020-09-15 20:29:50,1.7898162628703331,,United Kingdom,return_transaction
CINV517636,21212,PACK OF 72 RETROSPOT CAKE CASES,-28,2020-02-12 18:39:21,0.5841237258121369,,United Kingdom,return_transaction
CINV500888,22632,  HAND WARMER RED POLKA DOT  ,-12,2020-07-15 05:23:51,1.803696100974728,C11277,United Kingdom,return_transaction
CINV508524,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-26,2020-02-12 19:36:31,2.3905053201706097,C10362,United Kingdom,return_transaction
CINV506935,22632,HAND WARMER RED POLKA DOT,-33,2020-04-26 14:35:01,1.7935353774689602,C10422,United Kingdom,return_transaction
CINV514899,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-33,2021-07-15 04:41:00,2.587022623146081,C11659,United Kingdom,return_transaction
CINV511059,22632,HAND WARMER RED POLKA DOT,-21,2020-02-11 19:30:10,1.823480914463775,C12080,United Kingdom,return_transaction
CINV502248,23166,Medium Ceramic Top Storage Jar,-8,2021-04-16 04:39:12,1.0650998785868258,C13690,UK,return_transaction
CINV518480,84406B,CREAM CUPID HEARTS COAT HANGER,-13,2021-05-13 23:46:28,2.6665983229178454,C11362,United Kingdom,return_transaction
CINV505498,85099B,JUMBO BAG RED RETROSPOT,-38,2021-08-18 08:42:05,1.499302899012175,C12790,United Kingdom,return_transaction
CINV519853,21212,PACK OF 72 RETROSPOT CAKE CASES,-1,2021-03-30 18:48:04,0.558939980083669,C13948,United Kingdom,return_transaction
CINV500841,85099B,JUMBO BAG RED RETROSPOT,-32,2021-11-29 15:05:05,1.793304673533085,C13044,United Kingdom,return_transaction
CINV519674,D,Discount,-45,2020-11-17 22:22:07,3.952224405310388,,United Kingdom,return_transaction
CINV513764,71053,WHITE METAL LANTERN,-19,2020-09-20 03:12:11,3.2831825497971403,C12236,United Kingdom,return_transaction
CINV515064,84029E,RED WOOLLY HOTTIE WHITE HEART,-48,2020-09-11 21:48:16,3.37946944845486,C10856,United Kingdom,return_transaction
CINV510033,23166,medium ceramic top storage jar,-12,2021-10-03 03:37:06,-0.5,C12757,United Kingdom,return_transaction
CINV515507,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-12,2021-09-20 11:47:29,4.005306298729456,C12318,United Kingdom,return_transaction
CINV510339,71053,white metal lantern,-17,2021-04-10 23:27:36,3.124938637752644,C11242,Switzerland,return_transaction
CINV515381,71053,WHITE METAL LANTERN,-11,2020-01-27 19:42:16,3.5733652836845007,12794,Japan,return_transaction
CINV516113,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-24,2021-03-26 01:58:12,4.620189030598502,C13240,United Kingdom,return_transaction
CINV502427,71053,WHITE METAL LANTERN,-40,2021-05-14 08:30:33,3.1048457953002586,,United Kingdom,return_transaction
CINV501756,22423,REGENCY CAKESTAND 3 TIER,-49,2021-06-15 02:12:54,13.002440364552726,,EIRE,return_transaction
CINV514762,85123A,White Hanging Heart T-Light Holder,-18,2021-03-15 14:10:51,2.4266646972399597,C13433,United Kingdom,return_transaction
CINV503251,22423,REGENCY CAKESTAND 3 TIER,-45,2020-10-26 14:00:40,12.95498548694684,C10436,Netherlands,return_transaction
CINV502459,22632,HAND WARMER RED POLKA DOT,-45,2020-04-22 13:44:50,1.964023949599426,C11704,United Kingdom,return_transaction
CINV517844,21730,  GLASS STAR FROSTED T-LIGHT HOLDER  ,-24,2020-04-07 09:36:38,4.247283795136136,C13515,United Kingdom,return_transaction
CINV501954,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-14,2021-09-17 04:45:49,2.767716789384787,C11754,United Kingdom,return_transaction
CINV504074,22086,Paper Chain Kit 50S Christmas,-7,2020-11-24 00:45:07,2.3184176874411464,,United Kingdom,return_transaction
CINV513189,22752,Set 7 Babushka Nesting Boxes,-21,2021-02-09 04:49:00,7.341005235198629,C11000,United Kingdom,return_transaction
CINV519180,BANK CHARGES,bank charges,-12,2020-05-17 14:44:36,4.380888592731094,C10834,United Kingdom,return_transaction
CINV510520,84406B,CREAM CUPID HEARTS COAT HANGER,-32,2021-10-04 23:31:04,2.5380033640385684,,United Kingdom,return_transaction
CINV501776,47566,party bunting,-45,2021-10-08 12:50:31,4.962648903487316,C13740,United Kingdom,return_transaction
CINV506146,22633,HAND WARMER UNION JACK,-48,2021-06-18 18:19:07,1.920347003373674,C12773,EIRE,return_transaction
CINV510182,21212,  PACK OF 72 RETROSPOT CAKE CASES  ,-5,2020-02-22 23:43:58,0.5748083659285153,C13838,United Kingdom,return_transaction
CINV515120,M,Manual,-36,2020-09-22 02:05:35,3.189094608600887,C10646,United Kingdom,return_transaction
CINV513596,22632,HAND WARMER RED POLKA DOT,-20,2021-06-17 23:40:38,1.8408830737567476,C13702,United Kingdom,return_transaction
CINV519232,22752,SET 7 BABUSHKA NESTING BOXES,-36,2020-02-15 06:55:42,7.674573749054118,C12986,United Kingdom,return_transaction
CINV517648,84029E,RED WOOLLY HOTTIE WHITE HEART,-33,2020-04-27 12:53:44,3.3066167201941923,C13147,United Kingdom,return_transaction
CINV510893,84406B,CREAM CUPID HEARTS COAT HANGER,-5,2021-11-26 15:24:10,2.715017058245372,C13075,United Kingdom,return_transaction
CINV517807,22423,Regency Cakestand 3 Tier,-12,2021-05-22 05:29:48,12.663160582444776,C12162,UK,return_transaction
CINV510426,71053,WHITE METAL LANTERN,-4,2020-01-20 22:25:20,3.675878487374998,C12014,United Kingdom,return_transaction
CINV504984,84029G,Knitted Union Flag Hot Water Bottle,-28,2021-03-01 08:32:52,3.545332357473604,C13233,United Kingdom,return_transaction
CINV516230,23166,medium ceramic top storage jar,-6,2020-12-15 04:35:34,1.0049542188197973,C10767,United Kingdom,return_transaction
CINV503267,84029E,RED WOOLLY HOTTIE WHITE HEART,-11,2020-11-29 13:08:36,3.718083057204221,C13873,United Kingdom,return_transaction
CINV517728,22752,SET 7 BABUSHKA NESTING BOXES,-33,2021-11-16 12:20:09,7.296563367296014,C11148,Japan,return_transaction
CINV507692,22633,Hand Warmer Union Jack,-12,2020-11-28 17:31:33,1.9833518374470904,C12993,United Kingdom,return_transaction
