Customer ID,frequency,monetary,recency,R_score,F_score,M_score,RFM_Score,RFM_Segment_Code,Segment
C10000,12,928.6688895212142,128,1,4,3,8,143,At Risk
C10001,10,614.0301169474681,133,1,3,2,6,132,Potential Loyalists
C10002,8,498.77538152789685,8,5,1,1,7,511,Potential Loyalists
C10003,11,988.1326703512124,182,1,3,3,7,133,At Risk
C10004,10,1250.7641964755144,33,4,3,4,11,434,Loyal
C10005,12,1385.8017744624726,114,1,4,5,10,145,At Risk
C10006,10,1113.501114222703,84,2,3,4,9,234,At Risk
C10007,6,345.5784582093338,313,1,1,1,3,111,Lost
C10008,14,1169.0231450944082,55,3,5,4,12,354,Loyal
C10009,10,819.9435217074767,139,1,3,3,7,133,At Risk
C10010,16,1459.9035808016224,18,4,5,5,14,455,Champions
C10011,16,1882.6483308544043,58,3,5,5,13,355,Loyal
C10012,16,1601.5849257020136,9,5,5,5,15,555,Champions
C10013,7,850.4392501547642,66,3,1,3,7,313,Promising
C10014,8,711.022085271042,138,1,1,2,4,112,Lost
C10015,8,1082.3382908445994,100,2,1,4,7,214,Potential Loyalists
C10016,8,1336.691969689068,90,2,1,5,8,215,Potential Loyalists
C10017,9,574.1923278181595,168,1,2,2,5,122,Lost
C10018,9,686.2776491602705,40,3,2,2,7,322,Potential Loyalists
C10019,13,1266.0526470194704,209,1,4,4,9,144,At Risk
C10020,9,1015.741672090623,27,4,2,4,10,424,Potential Loyalists
C10021,9,1123.251916958587,81,2,2,4,8,224,Potential Loyalists
C10022,11,1173.4938013788571,16,5,3,4,12,534,Loyal
C10023,10,1097.0739868210103,134,1,3,4,8,134,At Risk
C10024,6,256.0575898739353,168,1,1,1,3,111,Lost
C10025,10,1049.8823130176165,94,2,3,4,9,234,At Risk
C10026,9,830.8271881652768,3,5,2,3,10,523,Potential Loyalists
C10027,9,675.6157143742319,13,5,2,2,9,522,Potential Loyalists
C10028,5,646.6141205358399,133,1,1,2,4,112,Lost
C10029,5,286.24343273337246,52,3,1,1,5,311,Lost
C10030,11,960.4402250196905,226,1,3,3,7,133,At Risk
C10031,7,992.8486775941881,87,2,1,4,7,214,Potential Loyalists
C10032,7,582.6227560391628,216,1,1,2,4,112,Lost
C10033,13,939.092151213662,5,5,4,3,12,543,Loyal
C10034,10,709.5687711716355,47,3,3,2,8,332,Loyal
C10035,13,1195.6079713784459,17,4,4,4,12,444,Champions
C10036,12,1351.9675577995322,74,2,4,5,11,245,At Risk
C10037,10,682.989394400184,16,5,3,2,10,532,Loyal
C10038,9,1008.3100607166016,54,3,2,4,9,324,Promising
C10039,6,309.12171824772236,212,1,1,1,3,111,Lost
C10040,10,962.3480253391133,123,1,3,3,7,133,At Risk
C10041,12,1207.2547269458532,50,3,4,4,11,344,Loyal
C10042,14,1846.0554253288908,76,2,5,5,12,255,At Risk
C10043,13,1127.0581974828867,26,4,4,4,12,444,Champions
C10044,15,1542.1931897900572,39,3,5,5,13,355,Loyal
C10045,15,1492.8852850718572,56,3,5,5,13,355,Loyal
C10046,10,625.5826052641926,19,4,3,2,9,432,Loyal
C10047,8,866.2459408053037,97,2,1,3,6,213,Potential Loyalists
C10048,6,204.82402327766516,35,4,1,1,6,411,Potential Loyalists
C10049,6,458.3238279322146,184,1,1,1,3,111,Lost
C10050,9,799.7824913810168,35,4,2,3,9,423,Potential Loyalists
C10051,12,1031.587083565157,72,2,4,4,10,244,At Risk
C10052,8,1146.2513202317532,59,3,1,4,8,314,Promising
C10053,13,1215.278322104212,81,2,4,4,10,244,At Risk
C10054,13,1872.784250156417,75,2,4,5,11,245,At Risk
C10055,14,1138.5283923065563,10,5,5,4,14,554,Champions
C10056,10,1009.1045647553635,69,2,3,4,9,234,At Risk
C10057,9,835.0694295202351,26,4,2,3,9,423,Potential Loyalists
C10058,13,1011.8059920435066,21,4,4,4,12,444,Champions
C10059,8,485.14314699950535,29,4,1,1,6,411,Potential Loyalists
C10060,16,1515.1303801272943,44,3,5,5,13,355,Loyal
C10061,7,937.9071619361542,54,3,1,3,7,313,Promising
C10062,9,718.8105880710436,45,3,2,2,7,322,Potential Loyalists
C10063,14,1487.2061999702084,3,5,5,5,15,555,Champions
C10064,13,1077.6474794820576,58,3,4,4,11,344,Loyal
C10065,10,499.19455434825295,325,1,3,1,5,131,Lost
C10066,10,605.4920062137157,53,3,3,2,8,332,Loyal
C10067,9,372.6980263081558,24,4,2,1,7,421,Potential Loyalists
C10068,8,939.5995523792004,111,2,1,3,6,213,Potential Loyalists
C10069,14,1372.390524984616,68,2,5,5,12,255,At Risk
C10070,7,399.1053390868298,19,4,1,1,6,411,Potential Loyalists
C10071,5,429.21571314071264,139,1,1,1,3,111,Lost
C10072,8,628.6929968892832,146,1,1,2,4,112,Lost
C10073,15,1492.2672117767327,41,3,5,5,13,355,Loyal
C10074,6,923.1529327846622,187,1,1,3,5,113,Lost
C10075,6,460.33303276871607,181,1,1,1,3,111,Lost
C10076,9,1042.326987410365,191,1,2,4,7,124,Potential Loyalists
C10077,11,1474.8549438819514,19,4,3,5,12,435,Loyal
C10078,3,192.95286824520812,102,2,1,1,4,211,Lost
C10079,9,972.1172519513223,40,3,2,3,8,323,Promising
C10080,8,956.1835227310931,12,5,1,3,9,513,Potential Loyalists
C10081,6,1008.044572255455,9,5,1,4,10,514,Potential Loyalists
C10082,8,457.3688833194996,30,4,1,1,6,411,Potential Loyalists
C10083,8,1065.169885486827,85,2,1,4,7,214,Potential Loyalists
C10084,15,1177.1710228851239,97,2,5,4,11,254,At Risk
C10085,11,914.8991931374878,21,4,3,3,10,433,Loyal
C10086,6,432.34533141125274,402,1,1,1,3,111,Lost
C10087,6,232.08562991121067,19,4,1,1,6,411,Potential Loyalists
C10088,8,612.7523395130358,197,1,1,2,4,112,Lost
C10089,11,718.9384384650177,102,2,3,2,7,232,Potential Loyalists
C10090,13,1609.7509270776613,33,4,4,5,13,445,Champions
C10091,9,1039.6837280196582,64,3,2,4,9,324,Promising
C10092,10,757.8837389020746,1,5,3,2,10,532,Loyal
C10093,9,1054.1537393288131,24,4,2,4,10,424,Potential Loyalists
C10094,7,560.4506582519107,91,2,1,2,5,212,Lost
C10095,9,1390.4938311979042,178,1,2,5,8,125,Potential Loyalists
C10096,11,668.7244490253136,228,1,3,2,6,132,Potential Loyalists
C10097,7,677.1949498808407,206,1,1,2,4,112,Lost
C10098,7,673.4777634912945,27,4,1,2,7,412,Potential Loyalists
C10099,9,566.4509859560951,123,1,2,2,5,122,Lost
C10100,11,597.8036038915169,41,3,3,2,8,332,Loyal
C10101,6,422.20709209446176,2,5,1,1,7,511,Potential Loyalists
C10102,10,713.5236667246099,5,5,3,2,10,532,Loyal
C10103,13,956.561507710918,7,5,4,3,12,543,Loyal
C10104,9,558.4311738297238,80,2,2,1,5,221,Lost
C10105,13,1164.1828358821822,73,2,4,4,10,244,At Risk
C10106,7,528.4457596558266,246,1,1,1,3,111,Lost
C10107,10,992.0163300573575,12,5,3,3,11,533,Loyal
C10108,5,316.9689422332098,16,5,1,1,7,511,Potential Loyalists
C10109,16,1852.9340394477254,5,5,5,5,15,555,Champions
C10110,15,1628.0567119330342,86,2,5,5,12,255,At Risk
C10111,12,1258.581727029492,16,5,4,4,13,544,Champions
C10112,6,244.9583085213743,167,1,1,1,3,111,Lost
C10113,14,1380.1145930807647,21,4,5,5,14,455,Champions
C10114,7,398.58130395481487,43,3,1,1,5,311,Lost
C10115,6,732.1203278263479,77,2,1,2,5,212,Lost
C10116,7,620.0763026369862,204,1,1,2,4,112,Lost
